day,morning,evening,difference
20240807,07:58:45,20:34:30,12:35:45
20240808,07:55:09,20:08:39,12:13:30
20240809,07:50:20,20:01:34,12:11:14
20240810,07:48:48,20:05:35,12:16:47
20240811,07:58:55,19:44:30,11:45:35
20240812,07:59:19,19:50:33,11:51:14
20240813,07:30:17,19:50:46,12:20:29
20240814,07:42:33,20:00:02,12:17:29
20240815,07:48:30,20:03:11,12:14:41
20240816,07:52:38,20:08:00,12:15:22
20240817,07:54:13,20:02:53,12:08:40
20240818,07:49:14,20:02:59,12:13:45
20240819,07:52:20,19:36:28,11:44:08
20240820,07:36:00,20:05:33,12:29:33
20240828,07:30:15,19:31:17,12:01:02
20240829,07:47:00,19:44:53,11:57:53
20240830,07:43:51,19:56:02,12:12:11
20240831,07:53:05,20:01:53,12:08:48
20240901,07:50:30,20:00:32,12:10:02
20240902,07:53:16,20:02:16,12:09:00
20240903,07:51:10,20:03:33,12:12:23
20240904,07:51:54,19:59:22,12:07:28
20240905,08:05:18,20:10:51,12:05:33
20240906,08:01:06,20:00:43,11:59:37
20240907,07:56:46,19:52:59,11:56:13
20240908,07:56:56,19:54:41,11:57:45
20240909,07:57:32,19:59:23,12:01:51
20240910,07:58:39,19:42:41,11:44:02
20240918,07:50:28,20:02:45,12:12:17
20240919,07:52:17,20:03:25,12:11:08
20240920,07:47:14,20:04:43,12:17:29
20240921,07:59:33,19:59:32,11:59:59
20240922,07:54:50,20:01:32,12:06:42
20240923,08:02:17,20:05:48,12:03:31
20240924,07:53:00,20:01:01,12:08:01
20240925,08:08:19,20:00:46,11:52:27
20240926,08:04:55,20:06:05,12:01:10
20240927,08:01:33,20:09:34,12:08:01
20240928,08:06:03,19:50:04,11:44:01
20240929,08:06:56,20:01:06,11:54:10
20240930,07:59:48,20:12:53,12:13:05
20241001,08:08:04,20:00:58,11:52:54
20241009,07:43:18,19:56:28,12:13:10
20241010,07:55:06,20:06:31,12:11:25
20241011,07:50:37,19:58:00,12:07:23
20241012,07:56:44,19:46:05,11:49:21
20241013,08:04:26,20:01:38,11:57:12
20241014,08:03:08,19:57:17,11:54:09
20241015,07:55:53,19:34:32,11:38:39
20241016,08:04:48,20:02:45,11:57:57
20241017,07:49:58,20:02:59,12:13:01
20241018,08:00:06,20:04:03,12:03:57
20241019,07:51:11,19:50:40,11:59:29
20241020,07:50:11,20:01:06,12:10:55
20241021,08:02:45,19:58:11,11:55:26
20241022,08:03:18,19:50:31,11:47:13
20241030,07:56:31,19:51:58,11:55:27
20241031,07:59:35,19:59:29,11:59:54
20241101,07:55:32,19:56:38,12:01:06
20241102,07:57:00,19:48:08,11:51:08
20241103,07:58:50,19:57:42,11:58:52
20241104,08:01:08,19:55:05,11:53:57
20241105,07:55:19,20:00:00,12:04:41
20241106,07:58:19,19:57:50,11:59:31
20241107,07:57:29,19:53:18,11:55:49
20241108,07:57:26,19:58:17,12:00:51
20241109,08:00:41,20:01:40,12:00:59
20241110,08:01:39,20:07:15,12:05:36
20241111,08:03:34,19:58:11,11:54:37
20241112,08:18:41,19:57:35,11:38:54
20241120,07:50:53,20:00:00,12:09:07
20241121,07:51:37,20:01:48,12:10:11
20241122,07:54:53,19:43:50,11:48:57
20241123,07:51:49,19:58:30,12:06:41
20241124,08:00:46,19:55:15,11:54:29
20241125,07:51:20,19:59:48,12:08:28
20241126,07:50:06,19:53:55,12:03:49
20241127,08:04:07,19:41:26,11:37:19
20241128,08:05:14,19:54:13,11:48:59
20241129,07:54:57,19:52:23,11:57:26
20241130,07:51:34,19:53:52,12:02:18
20241201,08:00:01,19:56:05,11:56:04
20241202,07:50:49,19:54:57,12:04:08
20241203,07:57:19,19:53:12,11:55:53
20241211,07:56:19,19:50:47,11:54:28
20241212,07:49:47,19:55:56,12:06:09
20241213,07:57:48,20:03:04,12:05:16
20241214,07:52:43,19:51:33,11:58:50
20241215,07:58:26,19:53:50,11:55:24
20241216,07:58:21,20:00:42,12:02:21
20241217,08:09:01,19:52:09,11:43:08
20241218,08:00:23,20:01:54,12:01:31
20241219,07:58:17,19:34:52,11:36:35
20241220,07:52:13,19:58:32,12:06:19
20241221,08:00:23,19:49:12,11:48:49
20241222,07:54:11,19:56:52,12:02:41
20241223,07:58:15,19:52:45,11:54:30
20241224,08:01:14,20:13:24,12:12:10
20250101,07:51:42,19:55:48,12:04:06
20250102,07:59:08,19:59:35,12:00:27
20250103,07:58:40,19:59:16,12:00:36
20250104,08:00:27,19:59:05,11:58:38
20250105,07:49:02,19:58:25,12:09:23
20250106,07:56:52,19:26:16,11:29:24
20250107,08:01:08,20:01:37,12:00:29
20250108,07:57:59,19:51:23,11:53:24
20250109,07:57:20,19:54:35,11:57:15
20250110,07:59:35,19:52:23,11:52:48
20250111,07:53:02,19:56:19,12:03:17
20250112,08:00:12,19:55:47,11:55:35
20250113,07:59:36,20:07:50,12:08:14
20250114,08:05:01,20:05:05,12:00:04
